q4v10,q8v10,q10v10,q41v10,q78v10,q93v10,q104v10,q4m10,q8m10,q10m10,q41m10,q78m10,q93m10,q104m10
0,2,0,2,2,2,2,0,0,1,0,0,0,0
0,2,2,2,0,0,0,1,2,2,0,1,0,0
0,1,2,1,0,0,0,1,0,1,1,0,0,2
1,1,2,1,0,0,0,0,1,1,1,0,1,1
1,1,0,1,1,0,0,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,2,2,2,2,2,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,1,0,0,0
1,1,2,2,0,0,0,1,2,1,0,2,0,0
1,1,0,0,0,0,0,1,1,1,1,1,0,0
0,0,1,0,2,2,0,1,1,1,1,1,1,0
0,1,0,2,0,1,0,1,1,0,1,0,1,0
0,2,0,2,2,2,0,1,1,0,1,1,0,0
0,2,0,0,2,0,0,1,0,1,1,0,0,0
1,1,0,1,1,0,0,1,1,1,1,1,0,0
0,1,0,2,1,0,0,1,1,0,0,1,0,0
1,1,1,0,1,1,0,1,1,1,1,1,1,0
0,0,0,1,0,0,0,0,0,0,1,0,0,0
1,0,1,0,0,0,0,1,1,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,0,2,0,0,0,0,0,0,0,0,0,0,0
0,2,1,2,2,2,0,1,0,1,1,0,1,1
2,2,2,0,1,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2,0,0,0,0,0,1,1,1,1,0,0,1
2,0,2,2,0,0,0,0,0,0,0,0,1,0
1,1,1,0,0,0,0,0,1,1,0,1,0,0
0,2,2,1,2,0,0,0,0,0,1,0,0,1
2,0,2,0,0,0,0,0,0,0,0,1,0,0
1,0,0,2,2,2,1,0,0,0,1,0,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,2,0,2,2,1,0,1,1,2,0,0,1,0
0,2,2,2,2,2,0,2,1,0,0,1,0,0
0,2,2,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,2,0,2,2,2,2,1,0,1,0,0,0,0
1,0,1,1,0,0,0,1,1,0,1,1,0,0
0,2,1,2,2,2,0,0,0,0,2,0,0,0
0,2,0,2,2,2,0,1,2,1,0,2,1,0
0,2,2,1,1,0,0,0,0,0,0,1,0,1
0,2,0,2,2,2,0,0,0,1,1,1,1,2
0,0,0,0,2,1,2,0,0,0,0,1,1,0
0,2,2,2,0,2,1,1,1,1,2,1,0,0
2,1,2,1,1,0,2,0,0,0,0,0,0,0
2,2,2,0,1,0,0,1,2,1,0,2,0,0
2,2,2,2,0,2,1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,1,2,1,1,2,0,0
1,2,1,1,1,0,0,0,0,0,0,0,1,0
2,2,2,0,2,2,1,0,0,0,0,0,2,0
0,0,0,1,0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,2,2,2,1,0,0,1,1,2,0,0
1,1,1,1,2,0,2,1,0,0,0,2,0,0
0,0,2,1,0,0,1,1,0,0,0,0,0,0
1,1,0,0,0,0,0,0,1,0,0,1,0,0
1,1,1,1,1,1,0,2,2,2,2,1,1,1
2,2,2,0,1,2,0,1,1,0,0,1,0,1
0,0,0,0,2,1,0,0,0,0,0,0,0,0
0,1,1,0,1,1,1,1,1,1,1,1,0,0
0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,1,0,0,1,0,0,1,1,0,0,0,0,0
1,1,0,1,1,0,0,1,0,1,0,0,0,0
1,0,2,1,0,1,1,1,2,1,1,0,0,0
1,0,0,0,0,0,0,1,1,1,0,1,0,0
0,0,1,2,0,0,1,0,0,1,1,0,0,0
0,2,1,0,2,0,0,0,1,0,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,1,1,1,0,0,0,1
0,2,2,2,0,2,0,1,1,0,2,1,0,0
0,2,2,2,2,2,0,1,1,1,1,1,1,0
2,2,2,1,1,0,0,0,0,1,0,0,1,0
1,1,0,1,1,0,0,1,1,1,1,1,0,0
0,0,1,0,0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,1,1,1,1,1,0,0
0,2,1,2,2,0,1,1,1,0,1,0,0,0
0,0,1,0,0,0,1,1,2,1,0,2,0,0
0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,1,0,0,1,0,0,0
1,1,1,0,1,1,0,0,1,0,0,1,0,0
0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,1,1,1,1,0,0,0,1,0,0,1,0,0
1,1,1,1,0,1,0,1,1,1,1,1,1,1
1,1,1,2,2,0,0,1,1,0,1,0,0,0
0,0,0,1,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,0,0,0,0,0
1,0,1,2,0,1,1,0,0,1,1,0,0,0
1,1,1,1,0,1,0,2,0,0,0,0,1,0
1,1,2,1,1,1,0,1,1,1,1,1,0,0
1,1,0,0,0,0,0,1,1,1,0,0,0,0
1,0,0,2,2,0,0,1,0,2,0,0,0,0
0,1,0,2,2,1,2,0,0,0,0,0,0,0
2,2,2,1,0,2,1,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,2,2,1,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,1,1,2,1,1,0,1
0,0,2,0,0,2,0,0,0,0,0,0,0,0
0,2,0,2,2,2,0,2,1,0,0,0,0,0
1,1,2,2,1,0,2,1,0,1,0,1,1,0
0,2,0,2,2,2,0,1,1,0,0,1,0,0
1,1,2,0,1,2,2,0,0,0,2,1,0,0
1,0,1,0,0,1,1,1,1,2,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,0,2,0,1,0,1,1,0,0,0,1,0
0,0,2,0,2,0,0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,1,0,0,0,0,0,1
0,2,0,0,0,0,0,1,1,1,1,1,1,0
2,2,2,0,2,0,0,1,1,0,0,1,1,0
1,0,0,1,1,0,0,0,0,1,1,0,0,0
0,2,2,2,0,1,0,0,0,0,0,0,0,0
2,2,1,0,1,0,0,1,1,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,2,0,0,0,0,1,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,1,0,0,0
0,0,0,0,0,1,0,0,0,1,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,1,0
0,2,1,2,2,2,0,0,0,1,1,0,1,0
0,2,2,2,0,2,0,1,2,1,1,2,0,0
1,0,0,2,0,0,0,1,1,1,0,1,0,0
0,2,2,0,0,1,1,1,1,2,1,1,0,1
0,1,0,1,2,0,0,0,1,0,0,1,0,1
1,1,2,2,0,0,2,0,0,0,1,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,1,0,0,0
0,0,1,0,0,1,2,0,1,1,1,1,0,0
0,0,0,0,0,1,0,0,0,0,0,0,2,0
1,2,0,0,2,0,0,2,1,0,0,1,1,0
2,2,0,0,1,0,0,2,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,1,2,1,0,1,2,1,1,2,0,0
0,1,1,2,0,2,0,0,0,2,1,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0
